s	1nM_bi_250nM_mono	s	1nM_bi_50nM_mono	s	1nM_bi_2.5nM_mono
29.736	25.59179067	29.736	19.54191738	29.736	15.71501536
29.836	25.59198587	29.836	19.56783998	29.836	15.74357136
29.936	25.60401507	29.936	19.58984508	29.936	15.78576736
30.036	25.61616627	30.036	19.61408875	30.036	15.83577336
30.136	25.62831747	30.136	19.6580318	30.136	15.86355936
30.236	25.62424267	30.236	19.6800369	30.236	15.88991536
30.336	25.62870787	30.336	19.70036308	30.336	15.93684136
30.436	25.63317307	30.436	19.71542863	30.436	15.97441736
30.536	25.66484427	30.536	19.74135123	30.536	16.01067336
30.636	25.66076947	30.636	19.77734737	30.636	16.03922936
30.736	25.65327867	30.736	19.79465148	30.736	16.07768536
30.836	25.66542987	30.836	19.81665659	30.836	16.11394136
30.936	25.67745907	30.936	19.83866169	30.936	16.14931736
31.036	25.69205027	31.036	19.85607773	31.036	16.17699336
31.136	25.69224547	31.136	19.88670132	31.136	16.22017936
31.236	25.70427467	31.236	19.91799647	31.236	16.25478536
31.336	25.71642587	31.336	19.94000157	31.336	16.28708136
31.436	25.72857707	31.436	19.95808919	31.436	16.31948736
31.536	25.72877227	31.536	19.97707223	31.536	16.36102336
31.636	25.73567747	31.636	20.00825545	31.636	16.38649936
31.736	25.72672267	31.736	20.02645499	31.736	16.42352536
31.836	25.75497787	31.836	20.04140861	31.836	16.47705136
31.936	25.76285907	31.936	20.06352564	31.936	16.50560736
32.036	25.77501027	32.036	20.09470887	32.036	16.53119336
32.136	25.77093547	32.136	20.11369191	32.136	16.56568936
32.236	25.78723467	32.236	20.1427485	32.236	16.59809536
32.336	25.78742987	32.336	20.16083611	32.336	16.64128136
32.436	25.78762507	32.436	20.17590166	32.436	16.67577736
32.536	25.79550627	32.536	20.21570336	32.536	16.70356336
32.636	25.78801547	32.636	20.23524604	32.636	16.71693936
32.736	25.81688067	32.736	20.25333366	32.736	16.76441536
32.836	25.81707587	32.836	20.26839921	32.836	16.79682136
32.936	25.81812507	32.936	20.30349992	32.936	16.83131736
33.036	25.83174027	33.036	20.32169946	33.036	16.84920336
33.136	25.83193547	33.136	20.33665308	33.136	16.89997936
33.236	25.85165067	33.236	20.36268761	33.236	16.92853536
33.336	25.84415987	33.336	20.40092231	33.336	16.95929136
33.436	25.84874707	33.436	20.40501889	33.436	16.98476736
33.536	25.86846227	33.536	20.42702399	33.536	17.03389336
33.636	25.88049147	33.636	20.44511161	33.636	17.05859936
33.736	25.88837267	33.736	20.47114613	33.736	17.08418536
33.836	25.88088187	33.836	20.48621168	33.836	17.11868136
33.936	25.88107707	33.936	20.5173949	33.936	17.16186736
34.036	25.90518427	34.036	20.54566799	34.036	17.19427336
34.136	25.90964947	34.136	20.55927847	34.136	17.21204936
34.236	25.91740867	34.236	20.57042653	34.236	17.25039536
34.336	25.92528987	34.336	20.59075271	34.336	17.28280136
34.436	25.91779907	34.436	20.60962382	34.436	17.31355736
34.536	25.92995027	34.536	20.63868041	34.536	17.34288336
34.636	25.94210147	34.636	20.66292408	34.636	17.37759936
34.736	25.94229667	34.736	20.68101169	34.736	17.40384536
34.836	25.96103587	34.836	20.68734683	34.836	17.42547136
34.936	25.96452507	34.936	20.70935194	34.936	17.45787736
35.036	25.96911227	35.036	20.7462435	35.036	17.50106336
35.136	25.98114147	35.136	20.7713826	35.136	17.52488936
35.236	25.98133667	35.236	20.77547918	35.236	17.55344536
35.336	25.98153187	35.336	20.79972285	35.336	17.58970136
35.436	25.98172707	35.436	20.81781046	35.436	17.62419736
35.536	25.99387827	35.536	20.83287601	35.536	17.64593336
35.636	25.99407347	35.636	20.85488111	35.636	17.67833936
35.736	25.99426867	35.736	20.88091563	35.736	17.72185536
35.836	26.01825387	35.836	20.89721239	35.836	17.73666136
35.936	26.01332507	35.936	20.90130897	35.936	17.76906736
36.036	26.00437027	36.036	20.923426	36.036	17.79366336
36.136	26.01652147	36.136	20.94543111	36.136	17.83816936
36.236	26.02098667	36.236	20.96743621	36.236	17.86672536
36.336	26.04070187	36.336	20.99167988	36.336	17.88362136
36.436	26.05285307	36.436	21.00282794	36.436	17.91602736
36.536	26.04877827	36.536	21.02483304	36.536	17.94843336
36.636	26.05324347	36.636	21.04292066	36.636	17.98303936
36.736	26.05770867	36.736	21.0579862	36.736	18.00466536
36.836	26.06546787	36.836	21.08402073	36.836	18.03707136
36.936	26.08957507	36.936	21.10423498	36.936	18.06947736
37.036	26.08550027	37.036	21.13720906	37.036	18.09330336
37.136	26.08227947	37.136	21.14365613	37.136	18.12570936
37.236	26.10199467	37.236	21.15726661	37.236	18.14733536
37.336	26.10218987	37.336	21.16841467	37.336	18.19184136
37.436	26.11665907	37.436	21.20351538	37.436	18.21214736
37.536	26.11258427	37.536	21.21466344	37.536	18.24455336
