Cycle: 5  MBP-L-111  2000 nM_X	Cycle: 5  MBP-L-111  2000 nM_Y	Cycle: 6  MBP-L-111  1000 nM_X	Cycle: 6  MBP-L-111  1000 nM_Y	Cycle: 8  MBP-L-111  250 nM_X	Cycle: 8  MBP-L-111  250 nM_Y	Cycle: 9  MBP-L-111  62.5 nM_X	Cycle: 9  MBP-L-111  62.5 nM_Y	Cycle: 10  MBP-L-111  15.6 nM_X	Cycle: 10  MBP-L-111  15.6 nM_Y	Cycle: 11  MBP-L-111  3.9 nM_X	Cycle: 11  MBP-L-111  3.9 nM_Y	Cycle: 13  MBP-L-111  250 nM_X	Cycle: 13  MBP-L-111  250 nM_Y	Cycle: 14  MBP-L-111  0.98 nM_X	Cycle: 14  MBP-L-111  0.98 nM_Y
-58.435	-0.0111965	-58.436	-4.10E-03	-58.436	-0.0629587	-58.436	-0.0146036	-58.436	-0.0142374	-58.436	0.0107641	-58.436	0.0841665	-58.436	0.0468435
-58.41	-6.71E-03	-58.411	5.76E-04	-58.411	-0.0672722	-58.411	-9.93E-03	-58.411	-9.56E-03	-58.411	0.0146599	-58.411	0.0888405	-58.411	0.0515175
-58.385	-6.71E-03	-58.386	5.76E-04	-58.386	-0.0672722	-58.386	-9.93E-03	-58.386	-9.56E-03	-58.386	5.67E-03	-58.386	0.0888405	-58.386	0.0515175
-58.36	-6.71E-03	-58.361	5.76E-04	-58.361	-0.0672722	-58.361	-9.93E-03	-58.361	-9.56E-03	-58.361	5.67E-03	-58.361	0.0888405	-58.361	0.0515175
-58.335	-6.71E-03	-58.336	5.76E-04	-58.336	-0.0555534	-58.336	-9.93E-03	-58.336	-9.56E-03	-58.336	5.67E-03	-58.336	0.0888405	-58.336	0.0515175
-58.31	3.06E-03	-58.311	5.76E-04	-58.311	-0.0555534	-58.311	-9.93E-03	-58.311	-9.56E-03	-58.311	5.67E-03	-58.311	0.0888405	-58.311	0.0515175
-58.285	3.06E-03	-58.286	0.0103416	-58.286	-0.0555534	-58.286	-9.93E-03	-58.286	-9.56E-03	-58.286	5.67E-03	-58.286	0.0888405	-58.286	0.0515175
-58.26	2.87E-03	-58.261	0.0103416	-58.261	-0.0555534	-58.261	1.79E-03	-58.261	-0.0103416	-58.261	5.67E-03	-58.261	0.0888405	-58.261	0.0515175
-58.235	-1.62E-03	-58.236	5.65E-03	-58.236	-0.060241	-58.236	-2.90E-03	-58.236	-0.0240166	-58.236	9.85E-04	-58.236	0.0939186	-58.236	0.0468299
-58.21	-1.26E-03	-58.211	5.85E-03	-58.211	-0.0600471	-58.211	-2.70E-03	-58.211	-0.0238228	-58.211	1.18E-03	-58.211	0.0933342	-58.211	0.0470238
-58.185	3.06E-03	-58.186	0.0103416	-58.186	-0.0563316	-58.186	1.01E-03	-58.186	-0.0193291	-58.186	5.67E-03	-58.186	0.0888405	-58.186	0.0515175
-58.16	3.06E-03	-58.161	9.56E-03	-58.161	-0.0653191	-58.161	-7.98E-03	-58.161	-0.0193291	-58.161	5.67E-03	-58.161	0.0888405	-58.161	0.0507393
-58.135	2.87E-03	-58.136	5.76E-04	-58.136	-0.0653191	-58.136	-7.98E-03	-58.136	-9.56E-03	-58.136	5.67E-03	-58.136	0.0888405	-58.136	0.0515175
-58.11	-1.28E-03	-58.111	-3.93E-03	-58.111	-0.0698283	-58.111	-0.0124857	-58.111	-0.0140727	-58.111	1.16E-03	-58.111	0.0843313	-58.111	0.0470083
-58.085	2.88E-03	-58.086	3.96E-04	-58.086	-0.0654987	-58.086	-8.16E-03	-58.086	-9.74E-03	-58.086	5.49E-03	-58.086	0.0886608	-58.086	0.0513378
-58.06	3.06E-03	-58.061	5.76E-04	-58.061	-0.0653191	-58.061	-7.98E-03	-58.061	-9.56E-03	-58.061	5.67E-03	-58.061	0.0888405	-58.061	0.0515175
-58.035	0.0128212	-58.036	0.0122948	-58.036	-0.0653191	-58.036	-7.98E-03	-58.036	-9.56E-03	-58.036	0.0154381	-58.036	0.0888405	-58.036	0.0515175
-58.01	0.0128368	-58.011	0.0122948	-58.011	-0.0653191	-58.011	-7.98E-03	-58.011	-9.56E-03	-58.011	0.0154381	-58.011	0.0888405	-58.011	0.0515175
-57.985	0.0133899	-57.986	0.0126839	-57.986	-0.06493	-57.986	-7.59E-03	-57.986	-9.17E-03	-57.986	0.0158272	-57.986	0.0892296	-57.986	0.0519066
-57.96	0.017704	-57.961	0.0171776	-57.961	-0.0604362	-57.961	-3.09E-03	-57.961	-4.68E-03	-57.961	0.0203209	-57.961	0.0937233	-57.961	0.0564003
-57.935	0.017704	-57.936	0.0171776	-57.936	-0.0604362	-57.936	-3.09E-03	-57.936	-4.68E-03	-57.936	0.0203209	-57.936	0.0937233	-57.936	0.0564003
-57.91	0.0175166	-57.911	0.0171776	-57.911	-0.0514488	-57.911	-3.09E-03	-57.911	-4.68E-03	-57.911	0.0203209	-57.911	0.0937233	-57.911	0.0564003
-57.885	0.0130093	-57.886	0.0124907	-57.886	-0.0651231	-57.886	-7.78E-03	-57.886	-0.0101457	-57.886	0.0156341	-57.886	0.0890365	-57.886	0.0517135
-57.86	0.0128212	-57.861	0.0122948	-57.861	-0.0653191	-57.861	1.79E-03	-57.861	-0.0193291	-57.861	0.0154381	-57.861	0.0888405	-57.861	0.0515175
-57.835	0.0128212	-57.836	0.0122948	-57.836	-0.0653191	-57.836	1.79E-03	-57.836	-0.0193291	-57.836	0.0154381	-57.836	0.0888405	-57.836	0.0515175
-57.81	0.0128212	-57.811	0.0122948	-57.811	-0.0653191	-57.811	1.79E-03	-57.811	-0.0193291	-57.811	0.0154381	-57.811	0.0888405	-57.811	0.0515175
-57.785	0.0225868	-57.786	0.0122948	-57.786	-0.0653191	-57.786	1.79E-03	-57.786	-0.0193291	-57.786	0.0154381	-57.786	0.0986061	-57.786	0.0515175
-57.76	0.0225868	-57.761	0.0122948	-57.761	-0.0653191	-57.761	1.79E-03	-57.761	-0.0193291	-57.761	0.0146599	-57.761	0.0986061	-57.761	0.0515175
-57.735	0.0225868	-57.736	0.0220604	-57.736	-0.0653191	-57.736	1.79E-03	-57.736	-0.0193291	-57.736	5.67E-03	-57.736	0.0986061	-57.736	0.0515175
-57.71	0.0226024	-57.711	0.0220604	-57.711	-0.0653191	-57.711	1.79E-03	-57.711	-0.0193291	-57.711	5.67E-03	-57.711	0.0986061	-57.711	0.0632362
-57.685	0.0231712	-57.686	0.0224495	-57.686	-0.06493	-57.686	2.18E-03	-57.686	-0.01894	-57.686	6.06E-03	-57.686	0.0989952	-57.686	0.0636253
-57.66	0.0278133	-57.661	0.0273168	-57.661	-0.0600626	-57.661	7.05E-03	-57.661	-0.0140727	-57.661	0.0109289	-57.661	0.103863	-57.661	0.0684927
-57.635	0.0269308	-57.636	0.0257915	-57.636	-0.0608097	-57.636	6.30E-03	-57.636	-5.05E-03	-57.636	0.0101818	-57.636	0.103115	-57.636	0.0677456
-57.61	0.0231556	-57.611	0.0126839	-57.611	-0.06493	-57.611	2.18E-03	-57.611	-9.17E-03	-57.611	0.0158272	-57.611	0.0989952	-57.611	0.0636253
-57.585	0.0274696	-57.586	0.0179558	-57.586	-0.0604362	-57.586	5.89E-03	-57.586	-4.68E-03	-57.586	0.0203209	-57.586	0.103489	-57.586	0.068119
-57.56	0.0272737	-57.561	0.026165	-57.561	-0.0604362	-57.561	-3.09E-03	-57.561	-4.68E-03	-57.561	0.0203209	-57.561	0.103489	-57.561	0.068119
-57.535	0.0225868	-57.536	0.0122948	-57.536	-0.0653191	-57.536	-7.20E-03	-57.536	-0.0103416	-57.536	0.0154381	-57.536	0.0986061	-57.536	0.0632362
-57.51	0.0343056	-57.511	0.0122948	-57.511	-0.0653191	-57.511	1.01E-03	-57.511	-0.0193291	-57.511	0.0154381	-57.511	0.0986061	-57.511	0.0632362
-57.485	0.0343056	-57.486	0.0220604	-57.486	-0.0653191	-57.486	-7.98E-03	-57.486	-0.0193291	-57.486	0.0154381	-57.486	0.0986061	-57.486	0.0632362
-57.46	0.0343056	-57.461	0.0220604	-57.461	-0.0662575	-57.461	-7.98E-03	-57.461	-0.0193291	-57.461	0.0154381	-57.461	0.0986061	-57.461	0.0632362
-57.435	0.0343056	-57.436	0.0220604	-57.436	-0.0672722	-57.436	-7.98E-03	-57.436	-0.0193291	-57.436	0.0154381	-57.436	0.0986061	-57.436	0.0632362
-57.41	0.0343056	-57.411	0.0220604	-57.411	-0.0672722	-57.411	-7.98E-03	-57.411	-0.0193291	-57.411	0.0154381	-57.411	0.108372	-57.411	0.0632362
-57.385	0.0341175	-57.386	0.0220604	-57.386	-0.0672722	-57.386	-7.98E-03	-57.386	-0.0193291	-57.386	0.0154381	-57.386	0.108372	-57.386	0.0730019
-57.36	0.0296103	-57.361	0.0173728	-57.361	-0.0719597	-57.361	-0.0126641	-57.361	-0.0240166	-57.361	0.0107505	-57.361	0.103684	-57.361	0.0683143
-57.335	0.0294228	-57.336	0.0163994	-57.336	-0.072155	-57.336	-0.0128593	-57.336	-0.0242119	-57.336	0.0105553	-57.336	0.103489	-57.336	0.0673409
-57.31	0.0294228	-57.311	7.41E-03	-57.311	-0.072155	-57.311	-0.0128593	-57.311	-0.0144463	-57.311	0.0105553	-57.311	0.103489	-57.311	0.0583534
-57.285	0.0294228	-57.286	7.41E-03	-57.286	-0.072155	-57.286	-0.0128593	-57.286	-0.0144463	-57.286	0.0203209	-57.286	0.103489	-57.286	0.0583534
-57.26	0.0294416	-57.261	7.41E-03	-57.261	-0.072155	-57.261	-3.09E-03	-57.261	-0.0144463	-57.261	0.0203209	-57.261	0.103489	-57.261	0.0583534
-57.235	0.0301075	-57.236	7.88E-03	-57.236	-0.0716858	-57.236	-2.62E-03	-57.236	-0.0139771	-57.236	0.0207901	-57.236	0.103958	-57.236	0.0588226
-57.21	0.0352821	-57.211	0.0132713	-57.211	-0.0662956	-57.211	2.77E-03	-57.211	-8.59E-03	-57.211	0.0261803	-57.211	0.10857	-57.211	0.0642128
-57.185	0.0352821	-57.186	0.0132713	-57.186	-0.0662956	-57.186	2.77E-03	-57.186	-8.59E-03	-57.186	0.0261803	-57.186	0.0995827	-57.186	0.0642128
-57.16	0.0345039	-57.161	0.023037	-57.161	-0.0662956	-57.161	2.77E-03	-57.161	-8.59E-03	-57.161	0.0261803	-57.161	0.0995827	-57.161	0.0642128
-57.135	0.034898	-57.136	0.023037	-57.136	-0.0662956	-57.136	2.77E-03	-57.136	-8.59E-03	-57.136	0.0261803	-57.136	0.0995827	-57.136	0.0642128
-57.11	0.025704	-57.111	0.0134666	-57.111	-0.075866	-57.111	-6.80E-03	-57.111	-0.0181572	-57.111	0.0166099	-57.111	0.0997779	-57.111	0.0546424
-57.085	0.0255165	-57.086	0.0124931	-57.086	-0.0760612	-57.086	-7.00E-03	-57.086	-0.0183525	-57.086	0.0164146	-57.086	0.0995827	-57.086	0.0544472
-57.06	0.0255165	-57.061	3.51E-03	-57.061	-0.0760612	-57.061	-7.00E-03	-57.061	-8.59E-03	-57.061	0.0164146	-57.061	0.0995827	-57.061	0.0544472
-57.035	0.0255314	-57.036	3.51E-03	-57.036	-0.0662956	-57.036	-7.00E-03	-57.036	-8.59E-03	-57.036	0.0164146	-57.036	0.0995827	-57.036	0.0642128
-57.01	0.0260637	-57.011	3.88E-03	-57.011	-0.0659221	-57.011	-6.63E-03	-57.011	-8.21E-03	-57.011	0.0167881	-57.011	0.0999562	-57.011	0.0645863
-56.985	0.0302268	-56.986	8.21E-03	-56.986	-0.0615925	-56.986	7.47E-03	-56.986	-3.88E-03	-56.986	0.0308834	-56.986	0.104286	-56.986	0.068916
-56.96	0.0303993	-56.961	8.39E-03	-56.961	-0.0614128	-56.961	7.65E-03	-56.961	-3.70E-03	-56.961	0.0310631	-56.961	0.104465	-56.961	0.0690956
-56.935	0.0303993	-56.936	8.39E-03	-56.936	-0.0614128	-56.936	7.65E-03	-56.936	-3.70E-03	-56.936	0.0310631	-56.936	0.104465	-56.936	0.0690956
-56.91	0.0303993	-56.911	8.39E-03	-56.911	-0.0614128	-56.911	7.65E-03	-56.911	-3.70E-03	-56.911	0.0310631	-56.911	0.104465	-56.911	0.0690956
-56.885	0.0303993	-56.886	0.0181541	-56.886	-0.0614128	-56.886	7.65E-03	-56.886	-2.93E-03	-56.886	0.0310631	-56.886	0.104465	-56.886	0.0690956
-56.86	0.0303993	-56.861	0.0181541	-56.861	-0.0614128	-56.861	7.65E-03	-56.861	6.06E-03	-56.861	0.0302849	-56.861	0.104465	-56.861	0.0690956
-56.835	0.0303993	-56.836	0.0181541	-56.836	-0.0614128	-56.836	6.87E-03	-56.836	6.06E-03	-56.836	0.0212975	-56.836	0.103527	-56.836	0.0690956
-56.81	0.0397433	-56.811	0.0181541	-56.811	-0.0614128	-56.811	-2.12E-03	-56.811	6.06E-03	-56.811	0.0212975	-56.811	0.0927467	-56.811	0.0690956
-56.785	0.0296476	-56.786	7.65E-03	-56.786	-0.0719208	-56.786	-0.0126251	-56.786	5.32E-03	-56.786	0.0107895	-56.786	0.0822388	-56.786	0.0585877
-56.76	0.0294228	-56.761	7.41E-03	-56.761	-0.072155	-56.761	-0.0128593	-56.761	5.08E-03	-56.761	0.0105553	-56.761	0.0917702	-56.761	0.0583534
-56.735	0.0294228	-56.736	7.41E-03	-56.736	-0.072155	-56.736	-0.0128593	-56.736	5.08E-03	-56.736	0.0105553	-56.736	0.0917702	-56.736	0.0583534
-56.71	0.0294408	-56.711	7.41E-03	-56.711	-0.072155	-56.711	-0.0128593	-56.711	5.08E-03	-56.711	0.0105553	-56.711	0.0917702	-56.711	0.068119
-56.685	0.0300815	-56.686	6.92E-03	-56.686	-0.061939	-56.686	-2.64E-03	-56.686	5.54E-03	-56.686	0.0110056	-56.686	0.0922205	-56.686	0.0685694
