Cycle:_4_1C-3_0.1_nM_X_time,(RU),Cycle:_5_1C-3_1_nM_X_time,(RU),Cycle:_6_1C-3_10_nM_X_time,(RU),Cycle:_7_1C-3_1000_nM_X_time,(RU)
-41.964,0.0523987,-41.964,0.0551758,-41.964,-0.00927734,-41.964,0.0488281
-41.864,0.0523987,-41.864,0.0551758,-41.864,-0.00927734,-41.864,0.0550842
-41.764,0.0488892,-41.764,0.0516663,-41.764,-0.0127869,-41.764,0.0515747
-41.664,0.0426331,-41.664,0.0454102,-41.664,-0.019043,-41.664,0.0453186
-41.564,0.0426331,-41.564,0.0454102,-41.564,-0.019043,-41.564,0.0453186
-41.464,0.0426331,-41.464,0.0419006,-41.464,-0.019043,-41.464,0.0453186
-41.364,0.0426331,-41.364,0.0356445,-41.364,-0.019043,-41.364,0.0453186
-41.264,0.0426331,-41.264,0.0356445,-41.264,-0.019043,-41.264,0.0453186
-41.164,0.0426331,-41.164,0.0391541,-41.164,-0.019043,-41.164,0.0453186
-41.064,0.0426331,-41.064,0.0454102,-41.064,-0.019043,-41.064,0.0453186
-40.964,0.0426331,-40.964,0.0516663,-40.964,-0.019043,-40.964,0.0453186
-40.864,0.0426331,-40.864,0.0454102,-40.864,-0.019043,-40.864,0.0453186
-40.764,0.0426331,-40.764,0.0454102,-40.764,-0.019043,-40.764,0.0453186
-40.664,0.0426331,-40.664,0.0356445,-40.664,-0.019043,-40.664,0.0453186
-40.564,0.0523987,-40.564,0.0454102,-40.564,-0.00576782,-40.564,0.0550842
-40.464,0.0426331,-40.464,0.0356445,-40.464,-0.00927734,-40.464,0.0453186
-40.364,0.0523987,-40.364,0.0454102,-40.364,0.000488281,-40.364,0.0550842
-40.264,0.0523987,-40.264,0.0454102,-40.264,0.000488281,-40.264,0.0550842
-40.164,0.0523987,-40.164,0.0454102,-40.164,0.000488281,-40.164,0.0550842
-40.064,0.0523987,-40.064,0.0454102,-40.064,0.000488281,-40.064,0.0550842
-39.964,0.0523987,-39.964,0.0454102,-39.964,0.000488281,-39.964,0.0648499
